Datetime,Tweet Id,Text,Username
2022-01-24 06:56:31+00:00,1.49E+18,SMA MAKES MAMA LOOK SO GOOD #SMArigged #SMA_RespectIVE,mynyeongie
2022-01-24 06:56:07+00:00,1.49E+18,"Yall in #SMArigged can keep crying without dragging Atz as a ""PROOF"" lmaoo anyway #8MAKES1BONSANG",dollsxngie
2022-01-24 06:50:55+00:00,1.49E+18,#SMArigged https://t.co/RfhfvRZ4Ml,rayanamalik2
2022-01-24 06:45:27+00:00,1.49E+18,"En- deserves that 2 awards, but txt too. Those who say dirty things to idols are toxic fans or the one who pits us. 
We can't blame the idols, blame the awards. They're rigged.
#SMArigged https://t.co/CmhG3KaEyW",lilac_gum
2022-01-24 06:39:40+00:00,1.49E+18,#SMArigged https://t.co/GW0erukELd,aratazaki
2022-01-24 06:35:06+00:00,1.49E+18,So you meant to say this voting app is rigged?? Like what the hell I spent whole month trying to get thousands of thousands of voting ticket only to found out its fake??? #SMArigged 🤬 https://t.co/NsTNowIt1U,bearycutesg
2022-01-24 06:32:00+00:00,1.49E+18,#SMArigged i cant forgive you for stripping TXT of their award,txtkings5
2022-01-24 06:27:57+00:00,1.49E+18,"THE Best Album without Bonsang!!
Lol you didn't have to expose yourself that way sma...
#SMArigged https://t.co/J5JDrTizPK",Nitizensss
2022-01-24 06:22:47+00:00,1.49E+18,K-Dives are Mad #SMArigged https://t.co/mjVkMy7q7y,Aceyujin_
2022-01-24 06:16:49+00:00,1.49E+18,"@starlightIVE sma biased
#SMArigged 
#SMA_RespectIVE",ptrckjcsn
2022-01-24 06:14:24+00:00,1.49E+18,"i just wanna say, omega nugus would never win roty if sma didn't hate izone girlies, it was just out of pure luck. #SMArigged",mynyeongie
2022-01-24 06:14:03+00:00,1.49E+18,#SMArigged https://t.co/URQRhsOHJP,jnowlee_
2022-01-24 06:13:50+00:00,1.49E+18,#SMArigged Y’all some damn haters  https://t.co/Gj3EhMmDm4,ArinLewinsky
2022-01-24 06:12:55+00:00,1.49E+18,"Literally everyone got their awards taken away. All you had to do was attend that award show, that’s so funny. #SMArigged",jungkookscum97
2022-01-24 06:09:13+00:00,1.49E+18,Drop the whole result of voting @SMA_korea  @SMA_global ! #SMArigged https://t.co/FYxQksScAs,letsDreamJi
2022-01-24 06:04:24+00:00,1.49E+18,#SMArigged https://t.co/JyDoRrlpHC,bfedenh17
2022-01-24 05:52:57+00:00,1.49E+18,"I leave a comment on his fb post, I asked my co-Dive to not hate the artists, hate SMA! and explain to the other fans how SMA systems working (voting, sales and panelists) but the fb owner delete my comment and block me. 😶 
#SMA_RespectIVE
#SMArigged https://t.co/pyn2C8xEZI",HeraYhra
2022-01-24 05:51:53+00:00,1.49E+18,"LOOK IVE AND DIVE's POWER @SMA_global @SMA_korea 
#SMArigged https://t.co/duZcnhilzz",Harry__Hoon
2022-01-24 05:40:26+00:00,1.49E+18,@yujingp999 for more info you can just see through #SMArigged,LJN3512CYJ
2022-01-24 05:39:24+00:00,1.49E+18,ทุกคนมาเล่นแท็กนี้กันเยอะๆ มันหลอกแดกตังแฟนคลับ ทุเรศชิบหาย #SMArigged,0813_______
2022-01-24 05:34:48+00:00,1.49E+18,"https://t.co/Kel2OYRAIJ
#SMArigged",Kik87578630
2022-01-24 05:34:35+00:00,1.49E+18,"sejak kapan ya kita vote untuk pamer -_- ya kali vote buat dipamerin hmm.😶
#SMArigged",Kik87578630
2022-01-24 05:33:36+00:00,1.49E+18,"serah lu dah
#SMArigged",Kik87578630
2022-01-24 05:30:40+00:00,1.49E+18,garagara lu si ah #SMArigged,sukanahyuck
2022-01-24 05:29:05+00:00,1.49E+18,"HSHAHAHAHA BOBO AMPUTA #SMArigged 
DESERVE NG TOP 3 YUNG BONSANG ULOL https://t.co/FQoTqRrJGK",choiningkang
2022-01-24 05:27:38+00:00,1.49E+18,"@KeziaK13 @ChrisLeeKPOP especially since Dec. while the voting is still going on,SM be stealing awards now too? In 2022?What a shame of a company 🥱

#SMArigged 
#SMAriggedShow 
#SMA2022",fe1ixdeluxe
2022-01-24 05:06:46+00:00,1.49E+18,"still angry with SMA
#SMArigged",Hankposie1
2022-01-24 05:02:41+00:00,1.49E+18,"we got this bes 🤧

#SMARigged https://t.co/027vzutcBE",fvcknonIisas
2022-01-24 05:01:58+00:00,1.49E+18,"wtf 🤨
#SMArigged",yunw_i56N
2022-01-24 04:59:31+00:00,1.49E+18,"Debes tener en cuenta que los SMA están comprados por SM, siempre alguien de sus grupos tiene que llevarse uno de los premios grandes, cringe que no te premien por tu talento sino por el dinero 😭
#SMArigged https://t.co/gZ3LLtGCE9",Foreversjkkm
2022-01-24 04:57:51+00:00,1.49E+18,เสียเวลามากกค่ะอีเวงงง #SMArigged,allalal17408915
2022-01-24 04:56:13+00:00,1.49E+18,"#SMA_RIGGED_IVE
#SMArigged
#SMA_RespectIVE https://t.co/Bg4wROk8Hc",dolmenicccc
2022-01-24 04:52:17+00:00,1.49E+18,ส่วนตัวมองว่าวงที่ได้คะแนนรวม 60% อยู่ในtop3 ไม่ควรหลุดอ่ะสำหรับบนซัง sma เพราะการที่เขามาอยู่ในtop3ได้ มันก็แปลว่ายอดดิจิ+อัลบั้มเขาดี แฟนคลับมีกำลังในการโหวต แล้วกรรมการมันใช้เกณฑ์อะไรมาตัดสินว่าเขาไม่เหมาะสมกับรางวัลนี้ #SMArigged,cherrysapzuza
2022-01-24 04:51:06+00:00,1.49E+18,"Gue juga nggak melihat kecurangan ini sebagai sesuatu yg dapat di syukurin kok, gue prihatin sama yg udh di curangin, semoga nggak ada yg kayak gini lagi

#SeoulMusicAwards 
#SMArigged",Via_JK10
2022-01-24 04:43:14+00:00,1.49E+18,"Ini bukan mau ngebandingin atau gimana², tapi akhirnya kalian ngerasain gimana di curangin sama award kan? Nah gimana nggak enak kan pengen marah tapi nggak bisa. Padahal data nya jelas ada, dan data nggak mungkin bohong, jadi gue cuman mau bilang-

#SeoulMusicAwards 
#SMArigged",Via_JK10
2022-01-24 04:34:19+00:00,1.49E+18,"#SMArigged Trends After NCT Dream, BLACKPINK Rose, Stray Kids and More Failed to Win Bonsang https://t.co/WLUuZ5Ijxp",kpopstarz
2022-01-24 04:32:26+00:00,1.49E+18,"It's not about who debuted first, babe. It's about who made noice, who made impact, who broke records and who charted. 
#SMA_RespectIVE 
#SMArigged
#SMA_RIGGED_IVE https://t.co/r4oeLpdiva",all4zhuoxuan
2022-01-24 04:30:05+00:00,1.49E+18,nct dream robbed #SMARIGGED,exo_neosfiles
2022-01-24 04:28:07+00:00,1.49E+18,@skijzee #SMArigged,theoryscape
2022-01-24 04:25:20+00:00,1.49E+18,Still bitter Stray Kids and TXT didn’t win a Bonsang despite placing 1st and 2nd place with almost 10 times more votes than other groups. #SMArigged #BONSANGforSKZ #JusticeForSKZ #JusticeForTXT #SMA2022shitshow,theoryscape
2022-01-24 04:21:41+00:00,1.49E+18,เหี้ยพอๆกับประเทศกูเลย แงงงงงงงง🤢🤢🤢🤢 #SMArigged,markno_
2022-01-24 04:21:40+00:00,1.49E+18,"Seneng bgt banyak fandom gede lain yang dukung Nct dream, semua orang tau siapa yang lebih baik kecuali Seoul music award itu acara busuk yg baunya nya udah semerbak #SMArigged 
#NCTDREAM",Mina30900721
2022-01-24 04:17:29+00:00,1.49E+18,เปิดคะแนนกรรมการมาเลยค่ะ เกณฑ์การให้คะแนนเป็นยังไง อยากรู้ว่าให้คะแนนแบบไหน nct dream ถึงหลุดบนซังได้ #SMArigged,9qxl8
2022-01-24 04:17:00+00:00,1.49E+18,ยังไม่มีใครว่าคนที่ได้รางวัลเลย ทุกวง deserve it แต่น้องดรีมไม่สมควรได้หรอ ที่สงสัยอยู่ตอนนี้คือทำไมถึงหลุดไปขนาดนั้น ขนาดไปติด top12 เลยหรอ สงสัยตรงนี้ ยอดโหวต+คะแนนบั้มคะแนนดิจิมันเห็นอยู่ ที่ไม่เห็นคือคะแนนกรรมการ #SMArigged,ibabey0u
2022-01-24 04:16:12+00:00,1.49E+18,timetable ng talambuhay!? kasama ba to sa criteria ng ROTY!?!? #SMARigged https://t.co/ti8DwdjuRt,ayakanokid
2022-01-24 04:15:12+00:00,1.49E+18,#SMArigged https://t.co/vO1m3FoyhE,mxthx31
2022-01-24 04:13:32+00:00,1.49E+18,"Dejaron fuera a mis nenes?? Saben que? Espero que Dios les deje fuera de el eden y se vayan directo al infierno. Con mis amores y mi tiempo, no se vuelven a meter! #SMArigged https://t.co/r3EizxnVBs",ARTIST_86
2022-01-24 04:11:13+00:00,1.49E+18,FRAUDULENTOS #SMArigged,ARTIST_86
2022-01-24 04:10:41+00:00,1.49E+18,others?? wdym SMA #SMArigged https://t.co/PF4YCEnSdl,nnyourj
2022-01-24 04:10:31+00:00,1.49E+18,yet still got robbed #SMArigged,lililiyabbub
2022-01-24 04:10:18+00:00,1.49E+18,@binwoobren #SMArigged,eunwoo_clove
2022-01-24 04:08:07+00:00,1.49E+18,ถ้าคะแนนกรรมการที่รู้ว่าคิดมาจากอะไร มันจะชนะยอดบั้มขนาดนี้ก็ไม่รู้จะว่ายังไงแล้ว อิพวกกรรมการนี่มาจากไหนก็ไม่รู้ มาตัดสินปัดตกทั้งๆที่ยอดตำตาขนาดนี้ มันทุเรดอะ #SMArigged https://t.co/q5KdPoUi1b,BovvJj
2022-01-24 04:03:37+00:00,1.49E+18,อิงานเหี้ยนี่ควรตรวจสอบละกางชาร์ตออกมา เพราะอะไร เพราะนอกจากอันดับเหวี่ยง วงที่ควรได้รางวัลแต่ตุ้บ มันยังมีเรื่องเสียเงินโหวตแต่คนได้รางวัลได้ก่อนปิดโหวต ละเงินที่ฟค.เสียไป??? #SMArigged,m_jiracha
2022-01-24 04:03:03+00:00,1.49E+18,#SMArigged https://t.co/vmW22Q0oKL,rayanamalik2
2022-01-24 04:00:53+00:00,1.49E+18,"Are you kidding?
We fans and supporters of NCT Dream of course we will defend if they are cheated, and you guys just tell us to be grateful? didn't you indirectly tell us to shut up and accept?
 #SMArigged",likerainbow6
2022-01-24 03:58:34+00:00,1.49E+18,I knew something wasn’t right when the majority of the artist there were from SM Ent. We all know SM relies on money to get their awards #SMArigged,jsngjinnie
2022-01-24 03:55:57+00:00,1.49E+18,"So why don't TXT have awards? Do you still have hearts? Everyone is watching the vote, so what's the use of our hard-working vote? You might as well say that we decided on the award weeks ago,Fans don't need to vote.Don't be so false, I said😓😓 #SMArigged",LSoobinx
2022-01-24 03:53:56+00:00,1.49E+18,"Let's work harder on next album!!

#엔시티드림_최고앨범상_축하해 
#NCTDREAM_SMA_BESTALBUM 
#NCTDREAM #엔시티드림 #SMArigged https://t.co/sEeAdbm4AD",imyourjoyiy
2022-01-24 03:53:15+00:00,1.49E+18,ตอนสมัยพส.ตกใจโดนโกงรางวัลบนซัง sma เพราะคะแนนกรรมการ 30% ตอนนั้นเหมือนจะมีออกข่าวด้วยใช่มั้ย หลังจากปีนั้นคิดว่า sma ทำอะไรเพื่อแก้ปัญหา? แถ่นแท๊นนน มันก็ปรับเกณฑ์กรรมการเป็น 40% แม่งเรย เอาให้กุสามารถโกงได้อย่างชอบธรรม ยังกะรัฐบาลประเทศสารขัณฑ์แถวนี้เลยข่ะ 😂 #SMArigged,milkteapie_
2022-01-24 03:49:54+00:00,1.49E+18,#SMArigged https://t.co/qSP6rjodfa,loserfortubatu
2022-01-24 03:49:10+00:00,1.49E+18,#SMArigged to the highest level! https://t.co/m1rApeO2f8,KingHarpie
2022-01-24 03:49:10+00:00,1.49E+18,"yg menang siapa yg panas siapa bukan main slebewww 
#exo #EXO5thKWAVEonSMA #ProtectEXO #SMArigged https://t.co/wRkXneZTtB",vousmavayaz
2022-01-24 03:48:53+00:00,1.49E+18,They really fucked up. Can't believe you put a system for fans to do voting but ended up got nothing? #SMArigged,closeuntil__
2022-01-24 03:46:04+00:00,1.49E+18,ฟค.ฝั่งเกาของวงที่โดนโกงรางวัล sma รวมถึงคนที่เห็นถึงความไม่โปร่งใสของงานควรรวมตัวกันเรียกร้องให้เกิดการตรวจสอบการให้คะแนนการให้รางวัลของผู้มีส่วนเกี่ยวข้องทุกคนนะ เพราะงานนี้เราเสียเงินกันจริงจัง จะมาสูบเงินพวกเราไปฟรีๆแล้วโกงกันหน้าด้านๆแบบนี้ไม่ได้ปะ #SMArigged,milkteapie_
2022-01-24 03:44:41+00:00,1.49E+18,"Everyone knows that NCT Dream was robbed last night

#NCTDREAM #SMArigged",likerainbow6
2022-01-24 03:43:59+00:00,1.49E+18,YES DON'T BE SHY BABY @IVEstarship #SMArigged,ayakanokid
2022-01-24 03:42:15+00:00,1.49E+18,#SMArigged,LoveeHonieeeee
2022-01-24 03:40:21+00:00,1.49E+18,Still mad and furious because my baby girl @IVEstarship being rigged ❗️❗️❗️ THEY DESERVE THE AWARD MORE THAN ANYONE ELSE 😭😭 Dive really working so hard and @SMA_global @SMA_korea really being a jackass and manipulate us 🤬 WTF #SMA_RespectIVE #SMARigged,AaronKim1011
2022-01-24 03:40:17+00:00,1.49E+18,#SMArigged ?,yeontwink
2022-01-24 03:38:34+00:00,1.49E+18,"Teruntuk Seoul music award bahkan semua orang tahu siapa yg lebih baik dan lu tuh fuck, dan terimakasih to other fandom yg dukung nct dream kita gak akan lupa🙏 Moa, stay, blink thanks you 💖💖💖💚❤️💚❤️💚❤️💚💚❤️
#NCTDREAM #SMArigged",Mina30900721
2022-01-24 03:38:25+00:00,1.49E+18,What SMA🙂?                           #SMArigged #TOMORROW_X_TOGETHER #TXT #SOOBIN #YEONJUN #BEOMGYU #HUENINGKAI #TAEHYUN https://t.co/Ab8P43A0RP,my_nh0309
2022-01-24 03:36:07+00:00,1.49E+18,"Udah ah cape marah"" ke Seoul music award acara paling freak dari acara itu gw sebagai dreamzen bakalan berusaha ngebuat NCT DREAM jadi boyband terbaik dan mendapatkan apa yang pantas mereka dapatkan 🥰
NCT DREAM WORLD DOMINATION KAJJA 🎉💚
#NCTDREAM #SMArigged https://t.co/UtJ8N9Ir6m",Mina30900721
2022-01-24 03:29:46+00:00,1.49E+18,"Also, the whole #SMArigged ordeal once again proved that all those once-prestigious award shows lost any semblance of credibility... it's actually sad to watch because it wasn't the case 14 years ago when I started my #kpop journey... I feel sorry to current kpop artists&amp; fans https://t.co/yCUmG74wPh",hitomi2oo7
2022-01-24 03:27:14+00:00,1.49E+18,ada yg bisa jelasin ngga #SMArigged,philosovhy
2022-01-24 03:23:57+00:00,1.49E+18,"#SMArigged Trends After NCT Dream, BLACKPINK Rose, Stray Kids and More Failed to Win Bonsang https://t.co/hSWSCU110V",KPOPFansApp
